Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG,link,id
2/26/2013,,Northwestern State,W,9-5,33,9,12,9,1,0,0,2,0,7,0,4,1,2,0,7,27,9,1,.364,/boxscore.aspx?id=4555&path=baseball,4555
2/24/2013,,Pepperdine,L,1-2,30,1,9,1,1,0,0,4,0,2,1,0,0,1,3,1,27,17,2,.300,/boxscore.aspx?id=4552&path=baseball,4552
2/23/2013,,Pepperdine,W,3-1,32,3,8,3,1,1,0,2,0,1,0,1,0,0,0,6,27,5,0,.250,/boxscore.aspx?id=4549&path=baseball,4549
2/22/2013,,Pepperdine,L,3-5,34,3,10,2,0,0,0,2,0,5,2,2,1,0,0,10,27,14,0,.294,/boxscore.aspx?id=4547&path=baseball,4547
2/20/2013,,Texas Southern,W,7-1,30,7,8,5,0,2,0,5,0,3,0,2,1,1,0,3,27,12,1,.267,/boxscore.aspx?id=4544&path=baseball,4544
2/19/2013,,Stephen F. Austin,W,9-2,33,9,12,7,1,0,0,7,0,6,0,3,2,0,0,8,27,8,1,.364,/boxscore.aspx?id=4541&path=baseball,4541
2/17/2013,,Illinois-Chicago,W,5-1,29,5,8,5,1,1,0,3,0,0,1,1,0,0,3,2,27,10,1,.276,/boxscore.aspx?id=4539&path=baseball,4539
2/16/2013,,Illinois-Chicago,W,4-3,30,4,8,4,2,0,0,0,0,1,0,0,2,0,0,6,27,12,1,.267,/boxscore.aspx?id=4536&path=baseball,4536
2/15/2013,,Illinois-Chicago,L,0-2,30,0,4,0,2,0,0,2,0,0,0,0,0,0,1,6,27,11,1,.133,/boxscore.aspx?id=4533&path=baseball,4533
6/3/2012,at,TCU,L,2-10,31,2,6,2,2,0,0,1,0,0,0,0,0,0,0,4,24,9,4,.194,/boxscore.aspx?id=4812&path=baseball,4812
6/2/2012,at,Ole Miss,L,3-6,31,3,5,2,2,0,0,6,0,1,0,1,1,0,1,12,24,9,3,.161,/boxscore.aspx?id=4811&path=baseball,4811
6/1/2012,,Dayton,W,4-1,34,4,9,3,2,0,0,4,0,1,0,0,1,0,0,7,27,12,2,.265,/boxscore.aspx?id=4810&path=baseball,4810
5/25/2012,vs,Kansas,L,3-5,34,3,7,3,2,0,0,3,0,4,0,1,0,0,2,9,24,10,0,.206,/boxscore.aspx?id=4809&path=baseball,4809
5/24/2012,vs,Missouri,L,3-5,33,3,8,3,1,0,0,1,0,2,1,0,1,1,0,9,24,12,1,.242,/boxscore.aspx?id=4808&path=baseball,4808
5/23/2012,vs,Kansas,W,10-4,36,10,15,10,1,1,0,1,0,1,1,1,1,1,0,9,27,9,2,.417,/boxscore.aspx?id=4807&path=baseball,4807
5/19/2012,at,Oklahoma State,W,5-4,35,5,9,5,0,0,1,2,0,0,0,0,1,0,0,13,27,7,1,.257,/boxscore.aspx?id=4806&path=baseball,4806
5/18/2012,at,Oklahoma State,W,8-7,37,8,13,7,0,1,2,4,0,4,2,1,1,0,0,9,27,12,0,.351,/boxscore.aspx?id=4805&path=baseball,4805
5/17/2012,at,Oklahoma State,W,5-2,48,5,10,5,2,0,1,2,0,2,1,0,0,0,0,16,39,9,3,.208,/boxscore.aspx?id=4804&path=baseball,4804
5/15/2012,,Texas State,W,5-1,31,5,11,5,1,0,1,3,0,2,3,1,1,0,0,3,27,7,1,.355,/boxscore.aspx?id=4803&path=baseball,4803
5/13/2012,,San Diego State,W,4-2,27,4,5,4,1,0,0,2,0,1,0,1,0,0,1,5,27,7,1,.185,/boxscore.aspx?id=4802&path=baseball,4802
5/12/2012,,San Diego State,W,1-0,29,1,5,1,1,0,0,3,0,1,1,0,1,0,0,5,27,14,0,.172,/boxscore.aspx?id=4801&path=baseball,4801
5/11/2012,,San Diego State,W,4-1,31,4,9,4,5,0,0,3,0,2,1,0,0,0,1,5,27,11,0,.290,/boxscore.aspx?id=4800&path=baseball,4800
5/6/2012,,Texas Tech,L,4-8,43,4,10,4,3,0,0,8,0,3,0,0,1,1,1,8,36,13,1,.233,/boxscore.aspx?id=4799&path=baseball,4799
5/5/2012,,Texas Tech,W,7-2,31,7,8,7,1,0,4,4,0,4,0,3,0,0,0,5,27,4,1,.258,/boxscore.aspx?id=4798&path=baseball,4798
5/4/2012,,Texas Tech,W,4-2,30,4,6,4,1,2,0,2,0,0,1,3,1,0,0,7,27,5,2,.200,/boxscore.aspx?id=655&path=baseball,655
5/1/2012,at,Sam Houston State,W,10-0,38,10,18,10,0,1,0,8,0,2,0,0,0,3,3,8,27,6,1,.474,/boxscore.aspx?id=654&path=baseball,654
4/29/2012,at,Texas,L,1-2,29,1,6,1,2,0,0,2,1,1,1,0,1,0,2,11,25,8,0,.207,/boxscore.aspx?id=653&path=baseball,653
4/28/2012,at,Texas,W,12-4,42,12,14,9,3,0,1,2,0,4,1,5,1,0,1,3,27,8,0,.333,/boxscore.aspx?id=652&path=baseball,652
4/27/2012,,Texas,W,6-5,33,6,9,6,2,0,0,3,0,2,0,1,2,1,0,4,27,9,0,.273,/boxscore.aspx?id=651&path=baseball,651
4/24/2012,at,TCU,W,4-1,36,4,12,4,2,1,0,5,0,2,0,0,1,0,2,7,27,10,0,.333,/boxscore.aspx?id=650&path=baseball,650
